Cell ID,Mean X,Mean Y,Area,Width,Height,Perimeter,Roundness,Mean,Standard Deviation,Smoothness,Uniformity
1,214.145,365.434,999.5,[44],[47],194.953,0.33,147.448,28.287,28.287,0.966
1,489.064,121.787,877.0,[36],[44],150.77,0.485,121.759,15.638,15.638,0.94
1,195.769,78.333,829.5,[35],[34],129.698,0.62,132.487,18.025,18.025,0.947
1,447.712,96.077,821.5,[42],[38],152.326,0.445,123.452,21.864,21.864,0.956
1,125.939,52.163,738.0,[46],[23],142.083,0.459,155.522,44.597,44.597,0.978
1,405.233,109.6,703.0,[29],[34],115.255,0.665,126.681,16.615,16.615,0.943
1,347.353,352.824,686.5,[29],[28],99.355,0.874,117.335,13.824,13.824,0.933
1,278.25,284.727,674.5,[29],[30],101.012,0.831,124.214,16.507,16.507,0.943
1,177.667,154.296,642.5,[24],[32],96.184,0.873,123.359,17.222,17.222,0.945
1,240.833,136.833,590.5,[38],[22],106.527,0.654,139.119,23.517,23.517,0.959
1,116.659,319.415,579.0,[29],[38],121.598,0.492,131.825,34.102,34.102,0.972
1,418.833,406.867,547.5,[27],[25],90.527,0.84,109.913,9.475,9.475,0.905
1,344.267,307.133,535.5,[25],[25],91.213,0.809,113.686,10.498,10.498,0.913
1,53.75,357.062,512.0,[29],[22],89.113,0.81,127.304,18.353,18.353,0.948
1,64.969,321.281,489.5,[23],[27],86.527,0.822,120.089,15.636,15.636,0.94
