,Cell Index,Distance Traveled,Velocity,Trajectory
0,1,"[1.9052826554597433, 15.482281677884572, 7.834559049537239, 8.139410298049853, 25.625488882621802, 11.93473569251939, 2.0298552904086646, 2.7598680141587497, 1.485739200695987, 4.401547264301182, 1.8505404889885624, 4.530820660655171, 2.701091435327341, 3.031042156303347, 4.790436032213339, 3.61675689533489, 4.900255095400631, 6.634644858369901, 8.532639133264238, 6.1112460591160715, 2.4177310298300294, 2.8521215124493873, 11.695111636081034, 4.39654029179294, 8.591991273830926, 5.175634268632649, 5.145242412900041, 11.045119612348138, 8.501452308754358]","[0.9526413277298716, 7.741140838942286, 3.9172795247686194, 4.0697051490249265, 12.812744441310901, 5.967367846259695, 1.0149276452043323, 1.3799340070793749, 0.7428696003479935, 2.200773632150591, 0.9252702444942812, 2.2654103303275854, 1.3505457176636706, 1.5155210781516735, 2.3952180161066696, 1.808378447667445, 2.4501275477003155, 3.3173224291849506, 4.266319566632119, 3.0556230295580358, 1.2088655149150147, 1.4260607562246936, 5.847555818040517, 2.19827014589647, 4.295995636915463, 2.5878171343163245, 2.5726212064500205, 5.522559806174069, 4.250726154377179]","[(19.973684210526315, 365.1842105263158), (21.86111111111111, 365.44444444444446), (21.703703703703702, 380.9259259259259), (14.0, 379.5), (8.5, 373.5), (6.923076923076923, 399.0769230769231), (10.0625, 387.5625), (9.65, 389.55), (12.391304347826088, 389.8695652173913), (13.625, 389.0416666666667), (14.882352941176471, 384.8235294117647), (15.521739130434783, 383.0869565217391), (19.727272727272727, 384.77272727272725), (21.476190476190474, 382.7142857142857), (24.0, 381.0357142857143), (20.379310344827587, 384.17241379310343), (21.2, 380.65), (25.5, 378.3), (30.59090909090909, 374.04545454545456), (37.16, 368.6), (31.72222222222222, 371.3888888888889), (30.03846153846154, 369.65384615384613), (32.888888888888886, 369.55555555555554), (23.928571428571427, 377.07142857142856), (28.318181818181817, 377.3181818181818), (19.727272727272727, 377.1818181818182), (24.863636363636363, 377.8181818181818), (28.03846153846154, 373.7692307692308), (39.05555555555556, 374.55555555555554), (42.611111111111114, 366.8333333333333)]"
1,2,"[4.405617925196147, 3.910417364718257, 2.370952533875421, 4.433331219163475, 4.585689338889275, 4.538212420360941, 1.7196339723788334, 2.5811885138673403, 4.005226973873634, 6.987342784182941, 5.602639584383415, 3.047161845471952, 4.203011553927615, 3.499443687566508, 3.39966919233092, 4.229095283104926, 3.9744847371225127, 2.3274312144872997, 1.8886010851836594, 5.384133067531733, 4.371521941113028, 3.9923244435435588, 1.710852325853026, 5.624089747463887, 2.7849042371286794, 4.371501081023432, 3.5091955096574488, 4.35308250059017, 5.017215046474055]","[2.2028089625980734, 1.9552086823591286, 1.1854762669377106, 2.2166656095817374, 2.2928446694446376, 2.2691062101804707, 0.8598169861894167, 1.2905942569336701, 2.002613486936817, 3.4936713920914704, 2.8013197921917077, 1.523580922735976, 2.1015057769638075, 1.749721843783254, 1.69983459616546, 2.114547641552463, 1.9872423685612564, 1.1637156072436499, 0.9443005425918297, 2.6920665337658667, 2.185760970556514, 1.9961622217717794, 0.855426162926513, 2.8120448737319435, 1.3924521185643397, 2.185750540511716, 1.7545977548287244, 2.176541250295085, 2.5086075232370275]","[(200.5, 225.5), (200.3548387096774, 229.90322580645162), (196.44444444444446, 229.91666666666666), (194.12820512820514, 229.4102564102564), (193.6764705882353, 225.0), (194.55882352941177, 229.5), (198.5, 231.75), (196.80645161290323, 231.4516129032258), (194.8125, 229.8125), (190.82857142857142, 229.4), (189.45, 222.55), (184.8125, 219.40625), (186.0, 216.6), (181.82857142857142, 216.0857142857143), (183.32, 212.92), (181.13888888888889, 215.52777777777777), (185.36666666666667, 215.63333333333333), (181.3939393939394, 215.5151515151515), (179.96428571428572, 213.67857142857142), (179.16666666666666, 211.96666666666667), (173.8, 212.4), (173.77142857142857, 216.77142857142857), (177.59459459459458, 215.6216216216216), (179.26190476190476, 215.23809523809524), (184.35714285714286, 217.61904761904762), (186.73333333333332, 216.16666666666666), (190.46875, 218.4375), (189.9375, 214.96875), (194.16666666666666, 216.0), (193.44827586206895, 220.9655172413793)]"
2,3,"[11.92213517898288, 12.85145209729288, 10.546745683935166, 8.21649868827619, 13.181345837448461, 12.918187807558947, 6.112844464252749, 7.282186959532135, 15.08917021745194, 17.531506651308558, 6.053503206613931, 13.8064099736661, 10.891830630383915, 8.252438289152057, 9.069992664944616, 17.499280534206992, 12.350328942987707, 2.5544079548889718, 4.616516243036765, 4.682021727012334, 15.807378168169581, 6.774511168573989, 11.888390522371276, 4.074281381812917, 7.332718396389834, 7.286015353492093, 10.489154163852028, 2.964875492332206, 3.048671841966592]","[5.96106758949144, 6.42572604864644, 5.273372841967583, 4.108249344138095, 6.5906729187242306, 6.459093903779474, 3.0564222321263745, 3.6410934797660675, 7.54458510872597, 8.765753325654279, 3.0267516033069657, 6.90320498683305, 5.445915315191957, 4.126219144576028, 4.534996332472308, 8.749640267103496, 6.175164471493853, 1.2772039774444859, 2.3082581215183824, 2.341010863506167, 7.903689084084791, 3.3872555842869945, 5.944195261185638, 2.0371406909064587, 3.666359198194917, 3.6430076767460466, 5.244577081926014, 1.482437746166103, 1.524335920983296]","[(484.3333333333333, 195.2051282051282), (474.11764705882354, 189.05882352941177), (473.5, 176.22222222222223), (480.75, 168.5625), (486.25, 162.45833333333334), (490.55555555555554, 150.0), (503.2352941176471, 147.52941176470588), (504.77777777777777, 153.44444444444446), (505.4, 160.7), (494.90909090909093, 171.54545454545453), (499.125, 188.5625), (497.0, 194.23076923076923), (483.375, 192.0), (472.6470588235294, 193.88235294117646), (466.08, 198.88), (461.09090909090907, 206.45454545454547), (462.75, 223.875), (456.05, 234.25), (453.5, 234.4), (452.3333333333333, 238.86666666666667), (447.6521739130435, 238.95652173913044), (454.10526315789474, 224.52631578947367), (457.5, 230.38888888888889), (460.05263157894734, 242.0), (461.59090909090907, 245.77272727272728), (455.82608695652175, 250.30434782608697), (460.7307692307692, 255.69230769230768), (467.2121212121212, 263.93939393939394), (464.4, 263.0), (467.28, 262.0)]"
3,4,"[2.028110996815118, 3.3592727981315202, 4.803569207060973, 5.147781396373426, 9.224274280198262, 9.092222127398662, 4.932325016496816, 2.049130338079327, 1.8002776192710084, 4.7729901287408625, 6.818379167421643, 5.514388212639179, 3.4467942533606406, 23.671260199317036, 13.136686253317688, 9.537228625367948, 4.883429740398818, 2.1969369009860666, 4.8823589699582115, 1.9859278685427875, 5.143260152860246, 0.2932610886491921, 7.5752189675959025, 6.013796669808696, 9.73359999214426, 6.7719672553089225, 30.590135287381724, 2.790229781112119, 3.1550478479853523]","[1.014055498407559, 1.6796363990657601, 2.4017846035304866, 2.573890698186713, 4.612137140099131, 4.546111063699331, 2.466162508248408, 1.0245651690396635, 0.9001388096355042, 2.3864950643704312, 3.4091895837108215, 2.7571941063195897, 1.7233971266803203, 11.835630099658518, 6.568343126658844, 4.768614312683974, 2.441714870199409, 1.0984684504930333, 2.4411794849791058, 0.9929639342713937, 2.571630076430123, 0.14663054432459605, 3.7876094837979513, 3.006898334904348, 4.86679999607213, 3.3859836276544613, 15.295067643690862, 1.3951148905560595, 1.5775239239926762]","[(91.18604651162791, 373.48837209302326), (89.24242424242425, 372.90909090909093), (86.41025641025641, 371.1025641025641), (91.05714285714286, 369.8857142857143), (88.15151515151516, 365.6363636363636), (84.39393939393939, 357.2121212121212), (93.45454545454545, 357.969696969697), (98.33333333333333, 358.69444444444446), (99.26315789473684, 356.86842105263156), (98.94871794871794, 358.64102564102564), (94.5, 356.9117647058824), (87.74285714285715, 356.0), (82.84375, 353.46875), (84.2, 350.3), (68.49579831932773, 332.5882352941176), (58.68518518518518, 323.85185185185185), (63.9375, 331.8125), (59.411764705882355, 333.6470588235294), (61.608695652173914, 333.6521739130435), (57.30434782608695, 331.3478260869565), (57.875, 333.25), (55.625, 337.875), (55.86363636363637, 338.04545454545456), (49.1875, 341.625), (48.611111111111114, 347.6111111111111), (47.43589743589744, 337.94871794871796), (41.888888888888886, 341.8333333333333), (25.363636363636363, 316.09090909090907), (22.625, 316.625), (21.46153846153846, 313.6923076923077)]"
4,5,"[8.254813287582003, 4.821794688487227, 3.0121492142705266, 1.1022926590148328, 3.836057242779466, 4.8752518099466275, 5.352928745448223, 2.111481593829294, 4.6851704602407285, 0.9585471782344558, 3.0141144333464975, 7.788212086133708, 2.2508721192773424, 1.5291686729512226, 5.620369921719361, 5.187449902248735, 1.247726821953547, 0.8341540731492314, 4.8119620166674, 7.544400147238126, 2.3601648815421097, 11.166833987969879, 1.682338003204094, 2.5542430699762035, 3.563593691766736, 4.275418108208841, 5.420922430730756, 1.896687884378424, 5.459486760766224]","[4.1274066437910015, 2.4108973442436135, 1.5060746071352633, 0.5511463295074164, 1.918028621389733, 2.4376259049733138, 2.6764643727241113, 1.055740796914647, 2.3425852301203642, 0.4792735891172279, 1.5070572166732488, 3.894106043066854, 1.1254360596386712, 0.7645843364756113, 2.8101849608596803, 2.5937249511243676, 0.6238634109767734, 0.4170770365746157, 2.4059810083337, 3.772200073619063, 1.1800824407710548, 5.583416993984939, 0.841169001602047, 1.2771215349881018, 1.781796845883368, 2.1377090541044206, 2.710461215365378, 0.948343942189212, 2.729743380383112]","[(65.72413793103448, 405.2068965517241), (61.12903225806452, 412.06451612903226), (57.25, 414.92857142857144), (59.625, 416.78125), (59.72727272727273, 417.8787878787879), (60.333333333333336, 421.6666666666667), (65.11538461538461, 422.61538461538464), (68.53846153846153, 426.7307692307692), (70.46875, 425.875), (75.13888888888889, 426.25), (75.59375, 425.40625), (73.03846153846153, 423.8076923076923), (65.41935483870968, 422.19354838709677), (67.54545454545455, 421.45454545454544), (67.76470588235294, 419.94117647058823), (62.148148148148145, 420.14814814814815), (65.91666666666667, 416.5833333333333), (65.64, 417.8), (64.88461538461539, 418.15384615384613), (65.55555555555556, 413.3888888888889), (62.34782608695652, 420.2173913043478), (64.70588235294117, 420.11764705882354), (62.36, 409.2), (61.13636363636363, 408.04545454545456), (63.07692307692308, 406.38461538461536), (61.56, 403.16), (65.5, 401.5), (62.6, 396.92), (61.31578947368421, 398.3157894736842), (64.06666666666666, 393.6)]"
5,6,"[10.746488574189252, 22.53962899423406, 14.714867039662717, 3.581015776274421, 5.555523364461381, 7.434301880099032, 14.905108177079162, 3.752400486038211, 11.841244299768208, 0.42383829519028415, 8.313098089704846, 5.428727053922957, 1.6290408579105078, 4.580622167927266, 5.906623665428499, 1.4494523212333896, 4.913089759832265, 4.384632253678773, 5.19722529302566, 11.217726862301198, 5.7051909526730205, 14.602607963525534, 6.366722567381107, 16.06657104286558, 6.578595211136567, 7.523266635124486, 0.697249614408922, 7.811539906404022, 9.065009877289475]","[5.373244287094626, 11.26981449711703, 7.357433519831359, 1.7905078881372105, 2.7777616822306905, 3.717150940049516, 7.452554088539581, 1.8762002430191056, 5.920622149884104, 0.21191914759514208, 4.156549044852423, 2.7143635269614785, 0.8145204289552539, 2.290311083963633, 2.9533118327142494, 0.7247261606166948, 2.4565448799161325, 2.1923161268393865, 2.59861264651283, 5.608863431150599, 2.8525954763365102, 7.301303981762767, 3.1833612836905534, 8.03328552143279, 3.2892976055682834, 3.761633317562243, 0.348624807204461, 3.905769953202011, 4.532504938644737]","[(335.64102564102564, 86.07692307692308), (342.0869565217391, 77.47826086956522), (353.42857142857144, 58.0), (366.51724137931035, 51.275862068965516), (366.3939393939394, 47.696969696969695), (367.6, 53.12), (372.9, 58.333333333333336), (378.8484848484849, 72.0), (378.7142857142857, 75.75), (386.2368421052632, 84.89473684210526), (385.9756097560976, 84.5609756097561), (383.8421052631579, 76.52631578947368), (379.13953488372096, 73.81395348837209), (377.5945945945946, 73.29729729729729), (375.28125, 69.34375), (376.55, 63.575), (376.5365853658537, 65.02439024390245), (371.75, 63.916666666666664), (367.4, 63.36666666666667), (365.55172413793105, 68.22413793103448), (374.2758620689655, 75.27586206896552), (379.19444444444446, 78.16666666666667), (392.6875, 83.75), (395.2, 89.6), (402.962962962963, 103.66666666666667), (403.73333333333335, 110.2), (411.22727272727275, 110.86363636363636), (411.85, 110.55), (406.3529411764706, 105.0), (402.25, 96.91666666666667)]"
6,7,"[14.364565978350495, 6.105894670472202, 3.0061132126790286, 2.970380490602315, 1.6234731737737955, 9.77085984142729, 1.4771259085122572, 5.763175678151182, 8.745367077058573, 3.7321160553550774, 1.7948851431807926, 16.05854270119876, 7.904773596951073, 8.707838620068037, 6.553539335343634, 8.778669549681203, 3.1658308873186507, 6.616678070768337, 7.694860318347425, 2.8926510908691987, 0.503189936000837, 5.459723346322968, 12.797783100272841, 9.76557875732051, 1.9848253678381511, 10.503831167921522, 6.092443258963551, 4.395461274937316, 6.075927658435853]","[7.182282989175247, 3.052947335236101, 1.5030566063395143, 1.4851902453011574, 0.8117365868868978, 4.885429920713645, 0.7385629542561286, 2.881587839075591, 4.372683538529286, 1.8660580276775387, 0.8974425715903963, 8.02927135059938, 3.9523867984755365, 4.353919310034018, 3.276769667671817, 4.389334774840601, 1.5829154436593253, 3.3083390353841686, 3.8474301591737126, 1.4463255454345993, 0.2515949680004185, 2.729861673161484, 6.398891550136421, 4.882789378660255, 0.9924126839190756, 5.251915583960761, 3.0462216294817757, 2.197730637468658, 3.0379638292179263]","[(201.5625, 338.21875), (187.22727272727272, 339.1363636363636), (181.7058823529412, 336.52941176470586), (182.16666666666666, 339.5), (182.89655172413794, 342.37931034482756), (181.60714285714286, 341.39285714285717), (191.36, 340.8), (192.32432432432432, 341.9189189189189), (186.6875, 340.71875), (178.59375, 337.40625), (178.48648648648648, 333.6756756756757), (176.85714285714286, 334.42857142857144), (180.65625, 350.03125), (188.51724137931035, 350.86206896551727), (197.07692307692307, 352.46153846153845), (190.875, 350.34375), (182.8, 346.9), (182.3846153846154, 350.03846153846155), (178.62857142857143, 355.48571428571427), (174.03125, 361.65625), (172.1219512195122, 363.8292682926829), (171.85714285714286, 364.25714285714287), (176.6590909090909, 361.65909090909093), (183.95238095238096, 351.14285714285717), (193.71794871794873, 351.12820512820514), (195.22222222222223, 349.8333333333333), (205.44736842105263, 352.2368421052632), (210.04651162790697, 356.2325581395349), (213.3448275862069, 359.13793103448273), (217.41935483870967, 363.64516129032256)]"
7,8,"[4.751502441299028, 8.456876748227137, 10.29591653975934, 1.6789836302436814, 2.400116328435497, 3.2262163942026842, 4.151757871746095, 20.87644406873493, 5.6515484603779065, 1.9416487838947358, 2.3538532239712953, 0.3149680645030698, 1.7027648939367934, 18.09503720230454, 14.44622120114244, 5.785855897982774, 10.508036772183239, 10.918057131812326, 9.906275663470154, 13.590909090909122, 7.177005582082892, 13.161120586001905, 7.534662303893239, 8.453577944411535, 5.542237036457791, 25.790153609074185, 4.992341072859007, 3.437298269889923, 8.086083954486748]","[2.375751220649514, 4.228438374113568, 5.14795826987967, 0.8394918151218407, 1.2000581642177486, 1.6131081971013421, 2.0758789358730474, 10.438222034367465, 2.8257742301889532, 0.9708243919473679, 1.1769266119856476, 0.1574840322515349, 0.8513824469683967, 9.04751860115227, 7.22311060057122, 2.892927948991387, 5.254018386091619, 5.459028565906163, 4.953137831735077, 6.795454545454561, 3.588502791041446, 6.580560293000953, 3.7673311519466197, 4.226788972205767, 2.7711185182288953, 12.895076804537092, 2.4961705364295037, 1.7186491349449615, 4.043041977243374]","[(103.74193548387096, 493.96774193548384), (103.03703703703704, 498.6666666666667), (111.08, 501.28), (120.85185185185185, 498.037037037037), (122.52380952380952, 498.1904761904762), (122.04166666666667, 500.5416666666667), (125.2, 501.2), (129.23529411764707, 502.1764705882353), (108.5, 504.6), (114.0, 505.9), (115.6, 504.8), (116.5, 502.625), (116.76923076923077, 502.46153846153845), (116.23076923076923, 500.84615384615387), (114.56896551724138, 482.82758620689657), (109.33333333333333, 496.2916666666667), (104.4375, 499.375), (103.41666666666667, 488.9166666666667), (102.0, 478.09090909090907), (103.31818181818181, 468.27272727272725), (103.31818181818181, 481.8636363636364), (108.94736842105263, 486.3157894736842), (122.09677419354838, 486.8709677419355), (120.44444444444444, 494.22222222222223), (125.89473684210526, 500.6842105263158), (126.11111111111111, 506.22222222222223), (151.85714285714286, 504.7142857142857), (156.0, 501.92857142857144), (159.36363636363637, 502.6363636363636), (159.76, 494.56)]"
8,9,"[4.85918935311857, 13.901356481881926, 9.123534138231076, 7.6846184993239905, 2.3421283923204896, 6.768142880725255, 7.168011772774042, 8.816503279720319, 2.128574022670635, 9.109173571672754, 2.7076337627526894, 1.9395832342590582, 5.735940678004467, 4.0874130125578025, 10.322706488909597, 6.04634192490122, 12.032044736022772, 3.8620085198211114, 4.817153634232815, 5.032874353988846, 2.379839025406533, 5.876448300470194, 3.0598558936640843, 1.292998957442954, 7.984903290307018, 5.512389491726531, 0.6333629489720161, 7.230021421633268, 5.3929257619704645]","[2.429594676559285, 6.950678240940963, 4.561767069115538, 3.8423092496619953, 1.1710641961602448, 3.3840714403626273, 3.584005886387021, 4.408251639860159, 1.0642870113353176, 4.554586785836377, 1.3538168813763447, 0.9697916171295291, 2.8679703390022335, 2.0437065062789013, 5.161353244454799, 3.02317096245061, 6.016022368011386, 1.9310042599105557, 2.4085768171164075, 2.516437176994423, 1.1899195127032665, 2.938224150235097, 1.5299279468320421, 0.646499478721477, 3.992451645153509, 2.7561947458632656, 0.31668147448600803, 3.615010710816634, 2.6964628809852322]","[(412.1818181818182, 148.72727272727272), (408.5135135135135, 145.54054054054055), (405.8333333333333, 131.9), (410.7037037037037, 124.18518518518519), (418.38235294117646, 123.88235294117646), (418.7692307692308, 126.1923076923077), (417.8666666666667, 132.9), (411.0, 134.95652173913044), (403.46153846153845, 130.3846153846154), (401.3939393939394, 129.87878787878788), (410.45454545454544, 128.93939393939394), (412.7586206896552, 127.51724137931035), (414.2857142857143, 126.32142857142857), (415.89473684210526, 120.8157894736842), (411.9655172413793, 119.6896551724138), (403.43333333333334, 125.5), (398.38235294117646, 128.8235294117647), (387.38709677419354, 133.70967741935485), (385.19444444444446, 136.88888888888889), (380.6666666666667, 138.53333333333333), (379.35714285714283, 143.39285714285714), (377.23333333333335, 144.46666666666667), (382.24242424242425, 141.3939393939394), (382.6666666666667, 138.36363636363637), (383.5, 137.375), (375.5833333333333, 138.41666666666666), (379.55882352941177, 142.23529411764707), (379.3076923076923, 141.65384615384616), (373.0857142857143, 137.97142857142856), (368.1111111111111, 135.88888888888889)]"
9,10,"[1.536586481975701, 3.53503638241894, 6.383220844009541, 3.2716846347473445, 5.0527539180605405, 14.102014373843938, 14.194594045548444, 1.6304950871502635, 1.3795968092535893, 1.8684634485330225, 3.058918550560297, 1.6553447042732197, 0.9038929656804846, 3.0093634178695443, 0.29189265809960824, 4.709154941242731, 3.0707033081794832, 2.195710619529956, 1.99894416574794, 2.3385104236183714, 3.483254079867116, 2.6810906201731166, 2.5974261200233513, 4.912009030676653, 2.3996266181930292, 2.0000296654831144, 1.3253360988950542, 10.312128781197426, 6.089543063500083]","[0.7682932409878505, 1.76751819120947, 3.1916104220047705, 1.6358423173736723, 2.5263769590302703, 7.051007186921969, 7.097297022774222, 0.8152475435751317, 0.6897984046267946, 0.9342317242665112, 1.5294592752801486, 0.8276723521366098, 0.4519464828402423, 1.5046817089347722, 0.14594632904980412, 2.3545774706213654, 1.5353516540897416, 1.097855309764978, 0.99947208287397, 1.1692552118091857, 1.741627039933558, 1.3405453100865583, 1.2987130600116756, 2.4560045153383263, 1.1998133090965146, 1.0000148327415572, 0.6626680494475271, 5.156064390598713, 3.0447715317500417]","[(159.42307692307693, 490.5769230769231), (160.48275862068965, 491.6896551724138), (160.02631578947367, 488.1842105263158), (160.29032258064515, 481.80645161290323), (162.30769230769232, 479.2307692307692), (157.43333333333334, 477.9), (157.81967213114754, 463.8032786885246), (158.68571428571428, 477.9714285714286), (159.6764705882353, 476.6764705882353), (160.93939393939394, 476.1212121212121), (159.58823529411765, 477.4117647058824), (156.68, 478.36), (155.14705882352942, 477.7352941176471), (156.0, 478.0344827586207), (154.1290322580645, 475.6774193548387), (154.20833333333334, 475.9583333333333), (158.7037037037037, 474.55555555555554), (157.10714285714286, 477.17857142857144), (156.83333333333334, 475.0), (155.08, 475.96), (153.37037037037038, 477.55555555555554), (153.88888888888889, 474.1111111111111), (156.56, 473.88), (153.96428571428572, 473.7857142857143), (158.85185185185185, 473.2962962962963), (156.47058823529412, 473.0), (156.4814814814815, 475.0), (155.16666666666666, 474.8333333333333), (164.86666666666667, 471.3333333333333), (168.3125, 466.3125)]"
